,Key Communities,Shutoff,Latitude,Longitude,Day,High,Low,Humidity,Dewpoint,Pressure,Windspeed,Windgust,Cover
51,Chico,True,39.7284944,-121.8374777,2019-09-25,100.85,73.85,0.24,39.9,1014.6,8.37,17.54,0.05
52,Chico,True,39.7284944,-121.8374777,2019-09-26,103.07,70.65,0.26,44.95,1009.2,7.85,16.77,0.01
53,Chico,True,39.7284944,-121.8374777,2019-09-26,103.07,70.65,0.26,44.95,1009.2,7.85,16.77,0.01
54,Chico,True,39.7284944,-121.8374777,2019-10-23,89.97,62.35,0.3,35.33,1021.1,5.68,14.83,0.04
55,Chico,True,39.7284944,-121.8374777,2019-10-23,89.97,62.35,0.3,35.33,1021.1,5.68,14.83,0.04
56,Chico,True,39.7284944,-121.8374777,2019-10-23,89.97,62.35,0.3,35.33,1021.1,5.68,14.83,0.04
57,Chico,True,39.7284944,-121.8374777,2019-10-23,89.97,62.35,0.3,35.33,1021.1,5.68,14.83,0.04
58,Chico,True,39.7284944,-121.8374777,2019-10-24,90.79,60.74,0.24,23.01,1017.0,7.38,15.17,0.07
59,Chico,True,39.7284944,-121.8374777,2019-10-24,90.79,60.74,0.24,23.01,1017.0,7.38,15.17,0.07
60,Chico,True,39.7284944,-121.8374777,2019-10-24,90.79,60.74,0.24,23.01,1017.0,7.38,15.17,0.07
61,Chico,True,39.7284944,-121.8374777,2019-10-24,90.79,60.74,0.24,23.01,1017.0,7.38,15.17,0.07
62,Chico,True,39.7284944,-121.8374777,2019-10-26,88.75,51.72,0.15,17.0,1018.6,3.68,6.57,0.01
63,Chico,True,39.7284944,-121.8374777,2019-10-26,88.75,51.72,0.15,17.0,1018.6,3.68,6.57,0.01
64,Chico,True,39.7284944,-121.8374777,2019-10-26,88.75,51.72,0.15,17.0,1018.6,3.68,6.57,0.01
65,Chico,True,39.7284944,-121.8374777,2019-10-26,88.75,51.72,0.15,17.0,1018.6,3.68,6.57,0.01
66,Chico,True,39.7284944,-121.8374777,2019-10-27,85.48,50.64,0.25,27.72,1011.1,5.02,15.2,0.02
67,Chico,True,39.7284944,-121.8374777,2019-10-27,85.48,50.64,0.25,27.72,1011.1,5.02,15.2,0.02
68,Chico,True,39.7284944,-121.8374777,2019-10-27,85.48,50.64,0.25,27.72,1011.1,5.02,15.2,0.02
69,Chico,True,39.7284944,-121.8374777,2019-10-27,85.48,50.64,0.25,27.72,1011.1,5.02,15.2,0.02
70,Chico,True,39.7284944,-121.8374777,2019-10-28,72.57,42.93,0.12,5.08,1016.2,9.02,21.42,0.0
71,Chico,True,39.7284944,-121.8374777,2019-10-28,72.57,42.93,0.12,5.08,1016.2,9.02,21.42,0.0
72,Chico,True,39.7284944,-121.8374777,2019-10-28,72.57,42.93,0.12,5.08,1016.2,9.02,21.42,0.0
73,Chico,True,39.7284944,-121.8374777,2019-10-29,71.99,41.85,0.11,-0.43,1017.5,4.95,12.36,0.06
74,Chico,True,39.7284944,-121.8374777,2019-10-30,70.28,39.09,0.16,1.82,1016.2,7.12,18.43,0.07
75,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
76,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
77,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
78,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
79,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
80,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
81,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
82,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
83,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
84,Oroville,True,39.5137752,-121.556359,2019-06-08,80.22,59.8,0.4,39.48,1014.9,7.1,18.27,0.08
85,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
86,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
87,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
88,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
89,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
90,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
91,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
92,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
93,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
94,Oroville,True,39.5137752,-121.556359,2019-06-09,88.58,65.7,0.21,29.63,1016.8,9.08,19.93,0.11
95,Oroville,True,39.5137752,-121.556359,2019-10-05,77.51,51.1,0.47,39.98,1019.3,4.29,11.65,0.04
96,Oroville,True,39.5137752,-121.556359,2019-10-05,77.51,51.1,0.47,39.98,1019.3,4.29,11.65,0.04
